ConversationId,contact_phone,is_tripler,opted_out,wrong_number,names_extract
58534256,19170000896,yes,no,no,
58534268,19170000896,yes,no,no,
58534274,19170000896,yes,no,no,
58534286,19170000896,yes,yes,no,
58534292,19170000896,yes,no,no,
58534296,19170000896,yes,no,no,
58534303,19170000896,yes,no,no,
58534332,19170000896,yes,no,no,
58534357,19170000896,yes,no,no,
58534367,19170000896,yes,no,no,"Susan, John, and Ethan"
58534387,19170000896,yes,no,no,
58534394,19170000896,yes,no,no,
58534402,19170000896,yes,no,no,
58534450,19170000896,yes,no,no,
58534453,19170000896,yes,no,no,
58534454,19170000896,yes,no,no,"Jeff, Sara, and Donna"
58534463,19170000896,yes,no,no,
58534467,19170000896,yes,no,no,"Vicki, Jamie, and Pam"
58534468,19170000896,yes,no,no,
58534477,19170000896,yes,no,no,
58534559,19170000896,yes,no,no,
58534564,19170000896,yes,no,no,
58534577,19170000896,yes,no,no,
58534590,19170000896,yes,no,no,
58534594,19170000896,yes,no,no,
58534602,19170000896,yes,no,no,
58534617,19170000896,yes,no,no,
58534656,19170000896,yes,no,no,
58534697,19170000896,yes,no,no,"Jeff, Michelle, and Dan"
58534716,19170000896,yes,no,no,
58534725,19170000896,yes,no,no,
58534733,19170000896,yes,no,no,
58534749,19170000896,yes,no,no,
58534758,19170000896,yes,no,no,
58534764,19170000896,yes,no,no,
58534773,19170000896,yes,no,no,
58534777,19170000896,yes,no,no,
58534778,19170000896,yes,no,no,
58534784,19170000896,yes,no,no,"Sally, Devon, and Tony"
58534790,19170000896,yes,no,no,
58534804,19170000896,yes,no,no,"Mike, Andy, and Dawne"
58534811,19170000896,yes,no,no,
58534823,19170000896,yes,no,no,
58534835,19170000896,yes,no,no,
58534841,19170000896,yes,no,no,
58534881,19170000896,yes,no,no,
58534882,19170000896,yes,no,no,
58534887,19170000896,yes,no,no,
58534889,19170000896,yes,no,no,
58534905,19170000896,yes,no,no,
58534921,19170000896,yes,no,no,
58534936,19170000896,yes,no,no,
58534960,19170000896,yes,no,no,
58534962,19170000896,yes,no,no,
58534965,19170000896,yes,no,no,"your girlfriend, Bald, and Guy"
58534971,19170000896,yes,no,no,
58534983,19170000896,yes,no,no,"Jean, Alan, and Cindy"
58534990,19170000896,yes,no,no,
58534992,19170000896,yes,no,no,"Fred, Vianna, and Francesca"
58535008,19170000896,yes,no,no,
58535046,19170000896,yes,yes,no,
58535052,19170000896,yes,no,no,
58535056,19170000896,yes,no,no,
58535087,19170000896,yes,no,no,
58535104,19170000896,yes,no,no,
58535115,19170000896,yes,no,no,
58535130,19170000896,yes,no,no,
58535133,19170000896,yes,no,no,"Brenda, Tracy, and Carol"
58535141,19170000896,yes,no,no,
58535158,19170000896,yes,no,no,
58535160,19170000896,yes,no,no,
58535163,19170000896,yes,no,no,
58535179,19170000896,yes,no,no,
58535185,19170000896,yes,no,no,
58535186,19170000896,yes,no,no,
58535213,19170000896,yes,no,no,
58535222,19170000896,yes,no,no,
58535224,19170000896,yes,no,no,
58535225,19170000896,yes,no,no,
58535230,19170000896,yes,no,no,"Alonzo, Vern, and Joanna"
58535231,19170000896,yes,no,no,
58535267,19170000896,yes,no,no,
58535316,19170000896,yes,no,no,
58535347,19170000896,yes,no,no,
58535365,19170000896,yes,no,no,
58535381,19170000896,yes,no,no,
58535402,19170000896,yes,no,no,
58535425,19170000896,yes,no,no,
58535428,19170000896,yes,no,no,
58535433,19170000896,yes,no,no,
58535454,19170000896,yes,no,no,
58535457,19170000896,yes,no,no,
58535458,19170000896,yes,no,no,"Sara, Dani, and Ben"
58535476,19170000896,yes,no,no,
58535477,19170000896,yes,no,no,
58535480,19170000896,yes,no,no,
58535492,19170000896,yes,no,no,"Sharon, Marsha, and Ted"
58535494,19170000896,yes,no,no,
58535510,19170000896,yes,no,no,
58535513,19170000896,yes,no,no,
58535515,19170000896,yes,no,no,"Larry, Moe, and Curly"
58535516,19170000896,yes,no,no,
58535517,19170000896,yes,no,no,"Brenda, Deanna, and Joyce"
58535529,19170000896,yes,no,no,
58535532,19170000896,yes,no,no,
58535533,19170000896,yes,no,no,
58535554,19170000896,yes,no,no,
58535555,19170000896,yes,no,no,
58535579,19170000896,yes,no,no,
58535589,19170000896,yes,no,no,
58535596,19170000896,yes,no,no,
58535628,19170000896,yes,no,no,
58535635,19170000896,yes,no,no,
58535640,19170000896,yes,no,no,
58535663,19170000896,yes,no,no,"Marie, Isaiah, and Jamie"
58535664,19170000896,yes,no,no,
58535665,19170000896,yes,no,no,
58535668,19170000896,yes,no,no,"Odette, Charmaine, and Solanges"
58535672,19170000896,yes,no,no,
58535678,19170000896,yes,no,no,
58535716,19170000896,yes,no,no,
58535728,19170000896,yes,no,no,
58535739,19170000896,yes,no,no,
58535747,19170000896,yes,no,no,
58535766,19170000896,yes,no,no,"Simone, Frank, and Andrew"
58535784,19170000896,yes,no,no,
58535788,19170000896,yes,no,no,
58535797,19170000896,yes,no,no,
58535798,19170000896,yes,no,no,
58535800,19170000896,yes,no,no,
58535817,19170000896,yes,no,no,
58535826,19170000896,yes,no,no,
58535830,19170000896,yes,no,no,
58535842,19170000896,yes,no,no,
58535843,19170000896,yes,yes,no,
58535844,19170000896,yes,no,no,
58535850,19170000896,yes,no,no,
58535854,19170000896,yes,no,no,
58535855,19170000896,yes,no,no,"Marilyn, Linda, and Lynda"
58535872,19170000896,yes,no,no,
58535889,19170000896,yes,no,no,
58535893,19170000896,yes,no,no,
58535906,19170000896,yes,no,no,
58535911,19170000896,yes,no,no,
58535949,19170000896,yes,no,no,
58535959,19170000896,yes,no,no,
58535961,19170000896,yes,no,no,
58535963,19170000896,yes,no,no,
58535985,19170000896,yes,no,no,
58536000,19170000896,yes,no,no,
58536003,19170000896,yes,no,no,
58536016,19170000896,yes,no,no,
58536032,19170000896,yes,no,no,
58536034,19170000896,yes,no,no,
58536040,19170000896,yes,no,no,
58536055,19170000896,yes,no,no,
58536072,19170000896,yes,no,no,"Dana, Mark, and Kathy"
58536083,19170000896,yes,no,no,
58536096,19170000896,yes,no,no,
58536099,19170000896,yes,no,no,
58536101,19170000896,yes,no,no,
58536103,19170000896,yes,no,no,
58536112,19170000896,yes,no,no,
58536113,19170000896,yes,no,no,
58536118,19170000896,yes,no,no,"Navy, Tia, and Aidez"
58536124,19170000896,yes,no,no,
58536150,19170000896,yes,no,no,"Kenny, Claudia, and Marc"
58536169,19170000896,yes,no,no,
58536183,19170002944,yes,no,no,"Tamica, Jackie, Dianisy, and Jackson"
58536197,19170002944,yes,no,no,
58536200,19170002944,yes,no,no,
58536214,19170002944,yes,no,no,
58536219,19170002944,yes,no,no,"Joe, Lena, and Bill"
58536220,19170002944,yes,no,no,
58536225,19170002944,yes,no,no,
58536226,19170002944,yes,no,no,
58536228,19170002944,yes,no,no,
58536229,19170002944,yes,no,no,"Robert, Lauren, and Dennis"
58536237,19170002944,yes,no,no,
58536242,19170002944,yes,no,no,
58536251,19170002944,yes,no,no,
58536255,19170002944,yes,no,no,
58536271,19170002944,yes,no,no,
58536273,19170002944,yes,no,no,
58536277,19170002944,yes,no,no,
58536282,19170002944,yes,no,no,
58536293,19170002944,yes,no,no,
58536294,19170002944,yes,no,no,
58536296,19170002944,yes,no,no,
58536302,19170002944,yes,no,no,
58536306,19170002944,yes,no,no,
58536311,19170002944,yes,no,no,
58536314,19170002944,yes,no,no,
58536320,19170002944,yes,no,no,
58536324,19170002944,yes,no,no,
58536330,19170002944,yes,no,no,
58536341,19170002944,yes,no,no,
58536354,19170002944,yes,no,no,
58536361,19170002944,yes,no,no,
58536371,19170002944,yes,yes,no,
58536378,19170002944,yes,no,no,
